Feature,Category ,Importance,b,SE,z.value,p
Intercept,NA, ,1.29,7.85,0.16,0.869
Majority-class Proportion,NA,1,0.47,0.08,6.15,< .0001
Ancillary Data,NA,0.92,,,,
,Remote Sensing Only,,-0.12,0.05,2.33,0.02
Indices,NA,0.39,,,,
,Used,,0.03,0.04,0.67,0.5
Number of Spectral Bands,NA,0.38,,,,
,Mid,,0.05,0.06,0.72,0.471
,Not Reported,,0.02,0.04,0.55,0.581
Confusion Matrix,NA,0.16,,,,
,Reported,,0.01,0.02,0.29,0.776
Sample Size,NA,0.13,0,0,0.1,0.922
Number of Classes,NA,0.11,0,0,0.19,0.846
Publication Year,NA,0.1,0,0,0.06,0.952
Remote Sensing Type,NA,0.03,,,,
,Combined,,0.01,0.03,0.17,0.869
,Not Reported,,0,0.02,0.04,0.971
,Passive,,0,0.02,0.16,0.87
Spatial Resolution,NA,0.02,,,,
,10-30 metres,,0,0.07,0.01,0.99
,Not Reported,,0,0.07,0,0.996
SDG Theme,NA,0.02,,,,
,SDG15: Life on Land,,0,0.01,0.1,0.924
,SDG2: Zero Hunger,,0,0.01,0.08,0.939
Classification Type,NA,0.02,,,,
,Pixel-level,,0,0.01,0.06,0.955
,Unclear,,0,0.01,0.05,0.958
Model Group,NA,0.01,,,,
,Other,,0,0.01,0.04,0.965
,Tree-Based Models,,0,0.01,0.05,0.961
Device Group,NA,0,,,,
,Not Reported,,0,0.01,0.05,0.956
,Other,,0,0,0.05,0.963
,Sentinel,,0,0.01,0.05,0.959
Number of Citations,NA,0,0,0,0.01,0.995